#beam run file  event                time              chan[0 11] 
0   38   54      1184 2017 09 29 04 55 49 0 1 1 0 0 0 1 0 0 1 0 1
0   38   54      1190 2017 09 29 04 55 50 0 0 1 0 1 0 0 1 0 0 0 1
1   38   95      1645 2017 09 29 13 45 08 0 1 1 0 0 0 1 1 1 1 0 1
1   38   95      3994 2017 09 29 13 48 09 0 0 1 1 1 0 1 0 0 1 0 1
1   38   95      7269 2017 09 29 13 52 18 0 1 0 0 1 1 0 0 0 1 0 0
0   38   55       828 2017 09 29 05 08 23 0 0 1 0 1 0 1 0 1 1 1 1
0   38   41      6304 2017 09 29 02 15 04 0 0 1 0 1 1 0 0 1 0 0 0
1   38   24       147 2017 09 28 22 28 29 0 0 0 1 0 1 0 0 0 1 0 1
1   38   24      2948 2017 09 28 22 31 56 0 1 0 0 1 1 1 1 1 1 1 1
1   38   25      2374 2017 09 28 22 44 08 0 1 1 1 1 0 1 0 0 1 0 0
1   38   25      7871 2017 09 28 22 51 10 0 0 1 0 0 1 1 0 1 0 0 0
1   38   23      2387 2017 09 28 22 18 38 0 1 0 1 0 0 0 1 0 0 0 1
1   38   23      4144 2017 09 28 22 20 48 0 0 1 0 0 0 0 1 1 0 0 0
1   38   69        26 2017 09 29 08 07 20 0 1 0 0 1 0 0 0 0 0 1 0
0   40   92      7080 2017 10 02 10 36 16 0 1 0 0 0 1 1 1 1 1 0 0
0   40   93      6148 2017 10 02 10 48 04 0 1 1 1 1 1 1 1 1 1 1 1
0   40   93      9452 2017 10 02 10 52 22 0 1 0 0 0 0 1 1 0 0 1 0
0   40   95      6835 2017 10 02 11 14 49 0 1 0 0 1 0 1 1 1 1 1 0
0   40   95      9868 2017 10 02 11 18 52 0 1 1 0 1 1 0 1 1 1 1 1
0   40   96      4129 2017 10 02 11 24 28 0 1 0 0 0 0 1 0 1 1 1 1
0   40   97      2337 2017 10 02 11 35 13 0 0 1 1 0 0 0 1 1 1 0 0
0   40   97      8574 2017 10 02 11 43 22 0 0 1 0 1 0 1 0 0 0 1 0
1   40  330      2644 2017 10 04 14 14 23 0 1 1 0 1 1 0 1 0 1 0 0
1   40  330      6181 2017 10 04 14 19 01 0 0 1 0 1 1 0 1 0 1 0 1
1   40  330      9357 2017 10 04 14 23 10 0 0 1 0 1 1 0 1 0 1 0 0
0   40   98       392 2017 10 02 11 45 46 0 1 1 1 1 1 1 1 0 0 0 1
0   40   98      4607 2017 10 02 11 51 17 0 1 0 0 0 0 0 1 0 0 0 1
0   40   98      6446 2017 10 02 11 53 38 0 0 0 1 0 0 0 1 0 0 1 1
1   40  331      1442 2017 10 04 14 25 45 0 1 1 1 0 0 1 1 0 0 0 1
1   40  331      1458 2017 10 04 14 25 46 0 1 0 1 1 0 0 1 1 1 0 0
